T0 R457:3606477.559314,IMG_SHARPEN,1,11,11,3606477.573047,3606477.918410,3606477.939043,INSTR,210493217
T0 R459:3606477.660659,IMG_BLUR,1,50,50,3606477.679044,3606477.939992,3606477.954237,INSTR,98820748
T0 R466:3606478.098418,IMG_BLUR,1,44,44,3606478.098451,3606478.098489,3606478.113857,INSTR,102150455
T0 R469:3606478.164267,IMG_BLUR,1,20,20,3606478.164300,3606478.164351,3606478.179582,INSTR,102150330
T0 R470:3606478.191881,IMG_BLUR,1,46,46,3606478.191915,3606478.191967,3606478.234489,INSTR,294438284
T0 R472:3606478.247108,IMG_SHARPEN,1,44,44,3606478.247147,3606478.247190,3606478.267863,INSTR,218369115
T0 R477:3606478.558257,IMG_SHARPEN,1,20,20,3606478.558295,3606478.558368,3606478.579197,INSTR,218391273
T0 R481:3606478.721020,IMG_BLUR,1,40,40,3606478.721053,3606478.721104,3606478.800270,INSTR,545873539
T0 R483:3606478.779015,IMG_SHARPEN,1,39,39,3606478.779054,3606478.858083,3606478.878488,INSTR,218441919
T0 R484:3606478.781052,IMG_BLUR,1,65,65,3606478.781090,3606478.878502,3606478.930797,INSTR,363702684
T0 R487:3606478.847043,IMG_SHARPEN,1,52,52,3606478.858114,3606478.941680,3606478.963561,INSTR,210543108
T0 R488:3606478.850895,IMG_BLUR,1,9,9,3606478.858116,3606478.963567,3606478.978019,INSTR,98820981
T0 R489:3606478.862029,IMG_SHARPEN,1,62,62,3606478.878533,3606478.978037,3606479.016293,INSTR,412184782
T0 R495:3606478.993273,IMG_SHARPEN,1,14,14,3606479.016332,3606479.059576,3606479.081319,INSTR,210379147
T0 R501:3606479.522615,IMG_BLUR,1,14,14,3606479.522649,3606479.522698,3606479.536548,INSTR,98824570
T0 R508:3606479.832004,IMG_SHARPEN,1,27,27,3606479.832058,3606479.832097,3606479.853538,INSTR,218335811
T0 R518:3606480.087479,IMG_BLUR,1,48,48,3606480.108006,3606480.145545,3606480.225838,INSTR,545882097
T0 R528:3606480.586438,IMG_SHARPEN,1,6,6,3606480.586471,3606480.586511,3606480.713036,INSTR,1166111288
T0 R531:3606480.629407,IMG_SHARPEN,1,66,66,3606480.629447,3606480.818736,3606480.856907,INSTR,412184647
T0 R539:3606481.041566,IMG_SHARPEN,1,58,58,3606481.041604,3606481.130556,3606481.151032,INSTR,218336207
T0 R540:3606481.098941,IMG_SHARPEN,1,43,43,3606481.098980,3606481.151039,3606481.274117,INSTR,1166883906
T0 R545:3606481.361402,IMG_SHARPEN,1,40,40,3606481.361441,3606481.383017,3606481.502816,INSTR,1166386094
T0 R548:3606481.545445,IMG_SHARPEN,1,55,55,3606481.572617,3606481.676532,3606481.696703,INSTR,218441815
T0 R554:3606481.855425,IMG_SHARPEN,1,47,47,3606481.855459,3606481.855497,3606481.894768,INSTR,412184807
T0 R559:3606482.069617,IMG_BLUR,1,37,37,3606482.083517,3606482.083524,3606482.129915,INSTR,294439088
T0 R564:3606482.292323,IMG_BLUR,1,46,46,3606482.292367,3606482.466782,3606482.508477,INSTR,294438088
T0 R569:3606482.466555,IMG_BLUR,1,7,7,3606482.466811,3606482.616432,3606482.668056,INSTR,363702141
T0 R571:3606482.481818,IMG_BLUR,1,15,15,3606482.507046,3606482.670335,3606482.697796,INSTR,192738505
T0 R583:3606483.056679,IMG_SHARPEN,1,13,13,3606483.056715,3606483.056752,3606483.077962,INSTR,210504233
T0 R585:3606483.253789,IMG_SHARPEN,1,7,7,3606483.253824,3606483.253862,3606483.330298,INSTR,777639349
T0 R597:3606483.851717,IMG_SHARPEN,1,61,61,3606483.856991,3606483.963939,3606483.986261,INSTR,211114592
T0 R600:3606483.969336,IMG_BLUR,1,76,76,3606483.969371,3606483.986586,3606484.001365,INSTR,102149741
T0 R601:3606483.980542,IMG_SHARPEN,1,62,62,3606483.986616,3606484.001375,3606484.043276,INSTR,411919221
T0 R607:3606484.209091,IMG_SHARPEN,1,4,4,3606484.209127,3606484.209137,3606484.232243,INSTR,217526583
